#;Jugador;TCA;TCI;T3A;T3I;TLA;TLI;RO;RD;REB;ASI;PER;ROB;TAP;TAPR;FP;FPR;PTS;+/-;VAL;Jornada;Adversario;Local;Vuelta;SEG
12;Jonah Radebaugh;2;3;1;1;0;0;0;0;0;0;1;0;0;0;3;0;5;-8,0;0;13;Real Madrid;Local;1ª Vuelta;961
12;Jonah Radebaugh;1;4;0;1;0;0;1;2;3;2;1;1;0;0;2;2;2;-1,0;4;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;761
12;Jonah Radebaugh;3;3;2;2;1;2;0;2;2;2;0;1;0;0;3;2;9;-7,0;12;15;Surne Bilbao Basket;Visitante;1ª Vuelta;1278
12;Jonah Radebaugh;0;2;0;2;0;0;0;1;1;0;0;0;0;0;4;0;0;-6,0;-5;17;Unicaja Málaga;Visitante;1ª Vuelta;861
12;Jonah Radebaugh;0;2;0;2;0;0;0;1;1;0;0;0;0;0;4;0;0;-6,0;-5;18;FC Barcelona;Local;2ª Vuelta;861
12;Jonah Radebaugh;5;10;3;7;0;0;0;1;1;3;0;2;0;1;1;0;13;6,0;13;19;Río Breogán;Visitante;2ª Vuelta;1066
12;Jonah Radebaugh;4;8;3;6;2;2;0;1;1;2;0;0;1;0;0;2;13;-8,0;15;21;Valencia Basket;Visitante;2ª Vuelta;54
13;Wilhelm Falk;2;5;0;1;1;1;2;0;2;0;1;1;0;0;3;1;5;7,0;2;1;MoraBanc Andorra;Local;1ª Vuelta;1112
13;Wilhelm Falk;1;2;0;1;0;0;3;2;5;0;0;0;0;0;2;0;2;13,0;4;2;Basquet Girona;Visitante;1ª Vuelta;594
13;Wilhelm Falk;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;-11,0;-3;3;La Laguna Tenerife;Visitante;1ª Vuelta;522
13;Wilhelm Falk;0;3;0;2;0;0;1;3;4;0;1;0;0;0;1;0;0;3,0;-1;4;Baskonia;Local;1ª Vuelta;924
13;Wilhelm Falk;0;0;0;0;2;2;1;2;3;0;1;0;0;0;0;2;2;-2,0;6;5;FC Barcelona;Visitante;1ª Vuelta;302
13;Wilhelm Falk;2;4;0;1;0;1;0;1;1;0;0;1;1;1;5;1;4;12,0;0;6;BAXI Manresa;Local;1ª Vuelta;614
13;Wilhelm Falk;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2;0;0;5,0;-1;7;Río Breogán;Local;1ª Vuelta;355
13;Wilhelm Falk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;8;Hiopos Lleida;Visitante;1ª Vuelta;70
13;Wilhelm Falk;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1;0;7,0;-3;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;309
13;Wilhelm Falk;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,0;-2;10;Joventut Badalona;Local;1ª Vuelta;158
13;Wilhelm Falk;1;7;0;1;0;0;9;5;14;0;0;0;0;1;3;1;2;23,0;8;11;Valencia Basket;Local;1ª Vuelta;1593
13;Wilhelm Falk;1;4;0;1;0;0;3;1;4;0;0;0;1;1;2;1;2;8,0;3;12;Covirán Granada;Visitante;1ª Vuelta;889
13;Wilhelm Falk;1;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;3;-6,0;3;13;Real Madrid;Local;1ª Vuelta;516
13;Wilhelm Falk;0;2;0;2;0;0;2;2;4;0;1;0;0;0;1;1;0;2,0;1;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;552
13;Wilhelm Falk;1;2;0;0;1;3;2;0;2;1;0;0;0;0;4;2;3;-2,0;1;15;Surne Bilbao Basket;Visitante;1ª Vuelta;629
13;Wilhelm Falk;1;1;0;0;2;2;2;0;2;2;0;1;0;0;5;2;4;6,0;6;16;Basket Zaragoza;Local;1ª Vuelta;533
13;Wilhelm Falk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,0;-1;17;Unicaja Málaga;Visitante;1ª Vuelta;45
13;Wilhelm Falk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0,0;-1;18;FC Barcelona;Local;2ª Vuelta;45
13;Wilhelm Falk;1;1;0;0;3;4;0;2;2;0;0;1;0;0;4;2;5;17,0;5;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;933
13;Wilhelm Falk;0;4;0;1;0;0;0;2;2;0;0;0;0;1;2;1;0;-11,0;-3;21;Valencia Basket;Visitante;2ª Vuelta;713
15;Emanuel Cate;1;1;0;0;0;0;1;3;4;3;1;0;0;0;2;1;2;22,0;7;1;MoraBanc Andorra;Local;1ª Vuelta;1042
15;Emanuel Cate;1;3;0;0;2;4;3;3;6;0;0;2;0;0;1;2;4;-3,0;9;2;Basquet Girona;Visitante;1ª Vuelta;1097
15;Emanuel Cate;3;4;0;0;0;1;4;1;5;0;0;0;0;0;3;2;6;-4,0;8;3;La Laguna Tenerife;Visitante;1ª Vuelta;876
15;Emanuel Cate;6;9;0;0;0;2;2;4;6;0;2;1;0;1;3;2;12;15,0;11;4;Baskonia;Local;1ª Vuelta;1572
15;Emanuel Cate;1;3;0;0;0;2;3;2;5;1;2;1;2;1;1;2;2;0,0;6;5;FC Barcelona;Visitante;1ª Vuelta;1116
15;Emanuel Cate;6;9;0;0;0;1;6;5;11;1;2;0;0;0;3;2;12;22,0;17;6;BAXI Manresa;Local;1ª Vuelta;1633
15;Emanuel Cate;3;5;0;0;5;6;3;2;5;0;2;1;1;1;2;6;11;-3,0;17;7;Río Breogán;Local;1ª Vuelta;1249
15;Emanuel Cate;2;2;0;0;0;2;2;6;8;3;0;0;1;0;4;1;4;16,0;11;8;Hiopos Lleida;Visitante;1ª Vuelta;1354
15;Emanuel Cate;1;2;0;0;1;2;2;0;2;1;1;0;1;0;3;2;3;-4,0;3;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;746
15;Emanuel Cate;5;9;0;0;5;6;5;6;11;1;1;0;3;0;2;4;15;1,0;26;10;Joventut Badalona;Local;1ª Vuelta;1622
15;Emanuel Cate;1;1;0;0;0;0;1;4;5;1;0;1;1;0;2;0;2;4,0;8;11;Valencia Basket;Local;1ª Vuelta;1133
15;Emanuel Cate;5;8;0;0;1;1;3;7;10;0;1;0;0;0;2;3;11;7,0;18;12;Covirán Granada;Visitante;1ª Vuelta;1392
15;Emanuel Cate;4;7;0;0;3;5;5;3;8;0;1;0;2;0;4;3;11;-6,0;14;13;Real Madrid;Local;1ª Vuelta;996
15;Emanuel Cate;2;6;0;0;2;2;3;3;6;0;0;0;0;0;2;2;6;-2,0;8;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;1315
15;Emanuel Cate;4;7;0;0;2;2;2;4;6;1;0;1;0;0;1;2;10;0,0;16;15;Surne Bilbao Basket;Visitante;1ª Vuelta;1198
15;Emanuel Cate;2;5;0;0;3;5;2;0;2;1;1;0;0;0;2;3;7;-2,0;5;16;Basket Zaragoza;Local;1ª Vuelta;1177
15;Emanuel Cate;4;9;0;0;2;2;4;5;9;5;0;1;1;0;4;3;10;0,0;20;17;Unicaja Málaga;Visitante;1ª Vuelta;1675
15;Emanuel Cate;4;9;0;0;2;2;4;5;9;5;0;1;1;0;4;3;10;0,0;20;18;FC Barcelona;Local;2ª Vuelta;1675
15;Emanuel Cate;5;5;0;0;0;0;2;1;3;0;0;0;0;0;2;0;10;-5,0;11;19;Río Breogán;Visitante;2ª Vuelta;1239
15;Emanuel Cate;0;5;0;0;0;0;2;3;5;0;2;2;1;0;3;2;0;11,0;0;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;1126
15;Emanuel Cate;2;3;0;0;4;4;1;0;1;0;0;2;0;0;3;2;8;-13,0;9;21;Valencia Basket;Visitante;2ª Vuelta;768
16;Rubén López;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;10;Joventut Badalona;Local;1ª Vuelta;3
20;Pablo Sevilla;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,0;0;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;111
21;Moussa Diagne;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;4;1,0;2;1;MoraBanc Andorra;Local;1ª Vuelta;357
21;Moussa Diagne;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;-11,0;1;3;La Laguna Tenerife;Visitante;1ª Vuelta;278
21;Moussa Diagne;1;1;0;0;0;0;1;1;2;0;2;1;0;0;1;0;2;1,0;2;7;Río Breogán;Local;1ª Vuelta;248
21;Moussa Diagne;0;2;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0;1,0;-1;8;Hiopos Lleida;Visitante;1ª Vuelta;305
21;Moussa Diagne;0;0;0;0;2;2;0;1;1;0;0;0;0;0;0;1;2;-3,0;4;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;368
21;Moussa Diagne;1;3;0;0;4;6;0;2;2;0;1;1;0;0;4;4;6;0,0;4;10;Joventut Badalona;Local;1ª Vuelta;778
21;Moussa Diagne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,0;0;12;Covirán Granada;Visitante;1ª Vuelta;139
21;Moussa Diagne;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;-3,0;2;13;Real Madrid;Local;1ª Vuelta;339
21;Moussa Diagne;0;1;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;6,0;2;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;230
21;Moussa Diagne;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-5,0;-1;21;Valencia Basket;Visitante;2ª Vuelta;338
24;Zach Hicks;0;1;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;-1,0;-3;1;MoraBanc Andorra;Local;1ª Vuelta;260
24;Zach Hicks;1;2;1;2;0;0;0;1;1;0;0;0;1;0;1;0;3;8,0;3;2;Basquet Girona;Visitante;1ª Vuelta;598
24;Zach Hicks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2,0;0;3;La Laguna Tenerife;Visitante;1ª Vuelta;115
24;Zach Hicks;3;5;3;5;2;3;0;3;3;0;0;0;0;0;3;1;11;2,0;9;5;FC Barcelona;Visitante;1ª Vuelta;1214
24;Zach Hicks;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;0;1,0;-2;6;BAXI Manresa;Local;1ª Vuelta;637
24;Zach Hicks;0;5;0;5;0;0;0;0;0;0;0;0;0;0;2;0;0;-12,0;-7;7;Río Breogán;Local;1ª Vuelta;661
24;Zach Hicks;2;4;2;4;0;0;0;1;1;0;0;0;0;0;4;0;6;18,0;1;8;Hiopos Lleida;Visitante;1ª Vuelta;787
24;Zach Hicks;0;1;0;1;0;0;0;2;2;0;0;0;0;0;1;0;0;-4,0;0;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;477
24;Zach Hicks;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;-2,0;-1;10;Joventut Badalona;Local;1ª Vuelta;284
24;Zach Hicks;0;1;0;1;0;0;0;0;0;0;1;0;0;0;3;0;0;-11,0;-5;11;Valencia Basket;Local;1ª Vuelta;309
24;Zach Hicks;0;1;0;0;0;0;1;1;2;0;0;0;0;0;1;0;0;1,0;0;12;Covirán Granada;Visitante;1ª Vuelta;216
24;Zach Hicks;2;5;2;5;1;2;2;2;4;0;0;0;0;0;3;1;7;-4,0;5;13;Real Madrid;Local;1ª Vuelta;741
24;Zach Hicks;0;2;0;1;0;0;2;0;2;0;2;1;0;0;2;0;0;-9,0;-3;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;622
24;Zach Hicks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;-2,0;-1;15;Surne Bilbao Basket;Visitante;1ª Vuelta;347
30;Kelan Martin;1;6;1;4;0;0;0;3;3;0;1;2;0;0;2;0;3;7,0;0;16;Basket Zaragoza;Local;1ª Vuelta;898
30;Kelan Martin;2;2;1;1;0;0;0;0;0;0;3;0;0;0;2;0;5;-2,0;0;17;Unicaja Málaga;Visitante;1ª Vuelta;725
30;Kelan Martin;2;2;1;1;0;0;0;0;0;0;3;0;0;0;2;0;5;-2,0;0;18;FC Barcelona;Local;2ª Vuelta;725
30;Kelan Martin;0;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;2,0;-4;19;Río Breogán;Visitante;2ª Vuelta;226
30;Kelan Martin;3;5;1;2;3;3;1;2;3;1;0;1;0;0;1;2;10;-2,0;14;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;696
30;Kelan Martin;3;6;2;3;0;0;0;1;1;0;0;1;0;1;2;0;8;-4,0;5;21;Valencia Basket;Visitante;2ª Vuelta;819
31;Dylan Ennis;5;12;2;6;2;2;1;3;4;6;1;4;0;1;0;1;14;26,0;21;1;MoraBanc Andorra;Local;1ª Vuelta;1423
31;Dylan Ennis;2;8;1;5;6;6;0;2;2;1;2;1;0;0;0;3;11;-10,0;10;2;Basquet Girona;Visitante;1ª Vuelta;1202
31;Dylan Ennis;0;0;0;0;0;0;0;1;1;3;0;0;0;0;2;1;0;2,0;3;3;La Laguna Tenerife;Visitante;1ª Vuelta;873
31;Dylan Ennis;3;8;0;2;1;2;1;5;6;1;3;0;0;0;1;4;7;15,0;8;4;Baskonia;Local;1ª Vuelta;1652
31;Dylan Ennis;1;5;0;3;2;2;1;4;5;9;4;0;0;1;3;2;4;1,0;9;5;FC Barcelona;Visitante;1ª Vuelta;1632
31;Dylan Ennis;1;3;0;0;0;0;1;0;1;1;4;1;0;0;3;1;2;-3,0;-3;6;BAXI Manresa;Local;1ª Vuelta;877
31;Dylan Ennis;9;17;3;7;1;2;2;3;5;5;2;2;0;0;2;3;22;-4,0;24;7;Río Breogán;Local;1ª Vuelta;1734
31;Dylan Ennis;10;18;8;12;2;2;0;4;4;0;1;0;0;4;1;3;30;17,0;27;8;Hiopos Lleida;Visitante;1ª Vuelta;1280
31;Dylan Ennis;7;16;3;8;0;0;0;3;3;4;2;1;0;1;4;2;17;7,0;12;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;1604
31;Dylan Ennis;6;17;1;6;9;10;0;3;3;6;1;1;0;1;2;8;22;2,0;25;10;Joventut Badalona;Local;1ª Vuelta;1699
31;Dylan Ennis;6;13;1;6;5;7;1;4;5;4;0;1;0;1;3;3;18;4,0;19;11;Valencia Basket;Local;1ª Vuelta;1578
31;Dylan Ennis;1;8;0;3;1;2;0;3;3;5;2;2;0;0;3;2;3;1,0;2;12;Covirán Granada;Visitante;1ª Vuelta;1335
31;Dylan Ennis;2;7;1;3;2;4;0;1;1;1;2;0;0;1;2;3;7;-3,0;1;13;Real Madrid;Local;1ª Vuelta;1439
31;Dylan Ennis;4;11;3;6;3;7;5;5;10;4;2;3;0;1;2;4;14;-4,0;20;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;1639
31;Dylan Ennis;2;11;1;5;0;0;2;1;3;3;0;1;0;1;1;0;5;-5,0;2;15;Surne Bilbao Basket;Visitante;1ª Vuelta;1626
31;Dylan Ennis;2;10;0;5;2;4;1;3;4;1;2;3;0;2;1;4;6;-2,0;5;16;Basket Zaragoza;Local;1ª Vuelta;2105
31;Dylan Ennis;6;13;1;5;0;0;1;5;6;2;5;0;1;0;1;2;13;-4,0;11;17;Unicaja Málaga;Visitante;1ª Vuelta;1983
31;Dylan Ennis;6;13;1;5;0;0;1;5;6;2;5;0;1;0;1;2;13;-4,0;11;18;FC Barcelona;Local;2ª Vuelta;1983
31;Dylan Ennis;4;7;2;4;2;2;0;1;1;5;2;1;0;0;2;2;12;6,0;14;19;Río Breogán;Visitante;2ª Vuelta;1408
31;Dylan Ennis;7;11;3;5;2;2;0;0;0;7;3;0;0;0;2;3;19;17,0;20;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;1661
31;Dylan Ennis;6;15;2;8;1;1;0;2;2;2;1;1;0;0;2;2;15;-28,0;10;21;Valencia Basket;Visitante;2ª Vuelta;1444
99;Toni Nakic;2;5;2;4;6;6;2;1;3;3;0;0;0;0;2;4;12;25,0;17;1;MoraBanc Andorra;Local;1ª Vuelta;1168
99;Toni Nakic;3;7;1;3;3;3;0;0;0;1;0;0;0;0;2;1;10;1,0;6;2;Basquet Girona;Visitante;1ª Vuelta;1208
99;Toni Nakic;2;3;1;2;0;0;2;0;2;0;0;0;0;0;0;1;5;-9,0;7;3;La Laguna Tenerife;Visitante;1ª Vuelta;1319
99;Toni Nakic;3;6;2;5;5;6;1;3;4;1;0;1;0;0;3;2;13;2,0;14;4;Baskonia;Local;1ª Vuelta;1428
99;Toni Nakic;2;4;2;4;0;0;1;0;1;0;0;3;0;0;2;0;6;3,0;6;5;FC Barcelona;Visitante;1ª Vuelta;884
99;Toni Nakic;3;8;0;4;0;0;1;0;1;1;1;1;1;0;2;0;6;8,0;2;6;BAXI Manresa;Local;1ª Vuelta;1212
99;Toni Nakic;3;5;3;5;0;0;0;2;2;2;1;1;1;1;1;1;9;-4,0;12;7;Río Breogán;Local;1ª Vuelta;1519
99;Toni Nakic;3;6;1;4;3;4;2;1;3;3;1;0;0;0;2;2;10;18,0;11;8;Hiopos Lleida;Visitante;1ª Vuelta;1613
99;Toni Nakic;3;4;3;4;2;2;1;0;1;3;2;0;0;0;3;3;11;17,0;12;9;Recoletas Salud San Pablo Burgos;Visitante;1ª Vuelta;1629
99;Toni Nakic;1;4;1;3;2;2;1;5;6;2;0;1;0;1;1;3;5;9,0;13;10;Joventut Badalona;Local;1ª Vuelta;1807
99;Toni Nakic;2;4;2;4;2;2;1;2;3;0;0;0;1;0;0;0;8;-16,0;10;12;Covirán Granada;Visitante;1ª Vuelta;964
99;Toni Nakic;0;4;0;3;0;0;0;2;2;0;0;0;0;0;3;0;0;-2,0;-5;13;Real Madrid;Local;1ª Vuelta;602
99;Toni Nakic;2;6;1;5;0;0;1;1;2;0;1;0;0;0;2;0;5;-2,0;0;14;Dreamland Gran Canaria;Visitante;1ª Vuelta;993
99;Toni Nakic;0;2;0;2;0;0;0;0;0;1;1;1;0;0;2;1;0;-4,0;-2;15;Surne Bilbao Basket;Visitante;1ª Vuelta;1093
99;Toni Nakic;3;6;3;5;2;2;1;2;3;0;0;0;0;0;2;3;11;-4,0;12;16;Basket Zaragoza;Local;1ª Vuelta;1044
99;Toni Nakic;3;6;3;6;1;1;0;1;1;0;0;1;0;0;1;2;10;-2,0;10;17;Unicaja Málaga;Visitante;1ª Vuelta;1930
99;Toni Nakic;3;6;3;6;1;1;0;1;1;0;0;1;0;0;1;2;10;-2,0;10;18;FC Barcelona;Local;2ª Vuelta;1930
99;Toni Nakic;2;6;1;5;0;0;1;2;3;2;0;3;1;0;2;4;5;11,0;12;19;Río Breogán;Visitante;2ª Vuelta;1570
99;Toni Nakic;2;2;1;1;0;0;0;2;2;0;1;2;0;0;0;1;5;6,0;9;20;Recoletas Salud San Pablo Burgos;Local;2ª Vuelta;771
99;Toni Nakic;0;5;0;2;0;0;1;1;2;2;0;0;0;1;1;0;0;-28,0;-2;21;Valencia Basket;Visitante;2ª Vuelta;1139
