#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,21:26,9,11,"81,82",0,0,0,1,4,25,2,6,8,3,1,1,0,0,3,3,19,29,25
2,Sander Raieste,20:39,2,4,50,2,3,"66,67",6,10,60,3,6,9,2,1,0,0,0,4,5,12,21,17
5,David DeJulius,26:04:00,6,13,"46,15",2,6,"33,33",1,2,50,0,1,1,3,4,0,0,0,2,3,15,14,8
31,Dylan Ennis,26:44:00,7,16,"43,75",3,8,"37,5",0,0,0,0,3,3,4,2,1,0,1,4,2,17,7,12
99,Toni Nakic,27:09:00,3,4,75,3,4,75,2,2,100,1,0,1,3,2,0,0,0,3,3,11,17,12
1,Michael Forrest,19:39,5,8,"62,5",3,5,60,4,5,80,0,3,3,6,1,0,0,0,2,3,17,16,22
8,Howard Sant-Roos,26:39:00,5,6,"83,33",0,0,0,4,4,100,1,7,8,3,0,3,0,0,1,3,14,10,29
13,Wilhelm Falk,5:09,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,7,-3
15,Emanuel Cate,12:26,1,2,50,0,0,0,1,2,50,2,0,2,1,1,0,1,0,3,2,3,-4,3
21,Moussa Diagne,6:08,0,0,0,0,0,0,2,2,100,0,1,1,0,0,0,0,0,0,1,2,-3,4
24,Zach Hicks,7:57,0,1,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,-4,0
,Equipo,,,,,,,,,,,1,1,2,,0,,,,0,,,,2
,Totales,200,38,65,"58,46",13,27,"48,15",21,33,"63,64",10,30,40,25,12,5,1,1,25,26,110,110,131